date,route,airline,source,lead_time,total_fare
2026-08-22,BOM-BLR,IndiGo,Airline,30,4100
2026-08-22,BOM-BLR,Air India,Airline,30,4700

2026-08-22,DEL-HYD,IndiGo,Airline,1,10100
2026-08-22,DEL-HYD,Air India,Airline,1,10900
2026-08-22,DEL-HYD,IndiGo,Airline,7,5500
2026-08-22,DEL-HYD,Air India,Airline,7,6200
2026-08-22,DEL-HYD,IndiGo,Airline,30,4400
2026-08-22,DEL-HYD,Air India,Airline,30,5000
2026-08-29,DEL-BOM,IndiGo,Mock,1,8501.47
2026-08-29,DEL-BOM,IndiGo,Mock,7,6534.42
2026-08-29,DEL-BOM,IndiGo,Mock,30,5092.7
2026-08-29,DEL-BOM,Air India,Mock,1,10057.28
2026-08-29,DEL-BOM,Air India,Mock,7,7105.64
2026-08-29,DEL-BOM,Air India,Mock,30,5194.53
2026-08-29,DEL-BLR,IndiGo,Mock,1,9816.98
2026-08-29,DEL-BLR,IndiGo,Mock,7,7508.32
2026-08-29,DEL-BLR,IndiGo,Mock,30,6075.96
2026-08-29,DEL-BLR,Air India,Mock,1,11277.87
2026-08-29,DEL-BLR,Air India,Mock,7,8053.06
2026-08-29,DEL-BLR,Air India,Mock,30,5984.98
2026-08-29,BOM-BLR,IndiGo,Mock,1,7400.62
2026-08-29,BOM-BLR,IndiGo,Mock,7,4983.06
2026-08-29,BOM-BLR,IndiGo,Mock,30,4894.91
2026-08-29,BOM-BLR,Air India,Mock,1,9178.8
2026-08-29,BOM-BLR,Air India,Mock,7,5546.15
2026-08-29,BOM-BLR,Air India,Mock,30,4820.41
2026-08-29,DEL-HYD,IndiGo,Mock,1,8547.37
2026-08-29,DEL-HYD,IndiGo,Mock,7,6178.08
2026-08-29,DEL-HYD,IndiGo,Mock,30,5070.97
2026-08-29,DEL-HYD,Air India,Mock,1,9120.24
2026-08-29,DEL-HYD,Air India,Mock,7,5763.22
2026-08-29,DEL-HYD,Air India,Mock,30,5264.07
